passed,failed,total,real,cpu,sys
0,0,0,0.30,0.26,0.04
0,0,0,0.29,0.25,0.03
0,0,0,0.31,0.26,0.04
0,0,0,0.34,0.29,0.04
0,0,0,0.34,0.30,0.04
0,0,0,0.37,0.31,0.04
0,0,0,0.29,0.25,0.03
1,0,1,0.43,0.36,0.06
1,0,1,0.44,0.37,0.07
1,0,1,0.43,0.36,0.06
1,0,1,0.50,0.41,0.07
1,0,1,0.52,0.44,0.07
3,0,3,0.57,0.47,0.08
3,0,3,0.54,0.46,0.08
3,0,3,0.58,0.49,0.08
3,0,3,0.59,0.49,0.09
3,0,3,0.55,0.47,0.08
1,2,3,0.65,0.55,0.09
1,2,3,0.64,0.54,0.09
7,0,7,0.62,0.51,0.09
7,0,7,0.64,0.53,0.09
7,0,7,0.51,0.43,0.07
7,0,7,0.49,0.41,0.07
7,0,7,0.49,0.41,0.07
7,0,7,0.51,0.43,0.08
7,0,7,0.47,0.40,0.07
8,0,8,0.52,0.43,0.08
8,0,8,0.48,0.40,0.07
8,0,8,0.51,0.42,0.08
10,0,10,0.57,0.48,0.08
5,1,6,0.55,0.46,0.08
5,1,6,0.57,0.48,0.08
5,1,6,0.54,0.46,0.08
6,1,7,0.72,0.61,0.10
6,1,7,0.70,0.59,0.10
12,0,12,0.67,0.57,0.09
13,0,13,0.72,0.60,0.10
13,0,13,0.69,0.59,0.09
15,0,15,0.74,0.63,0.09
2,3,5,0.65,0.55,0.09
15,0,15,0.71,0.60,0.09
15,0,15,0.70,0.59,0.09
14,0,14,0.73,0.63,0.10
16,0,16,0.74,0.63,0.10
12,0,12,0.73,0.62,0.10
12,0,12,0.72,0.61,0.10
6,0,6,0.63,0.53,0.10
6,0,6,0.64,0.53,0.09
